KEY,TICKER,DATE,TIME,CLOSE
0,CHMF,2024-06-07,10:00:00,1759.735974500729
1,CHMF,2024-06-07,11:00:00,1759.735974500729
2,CHMF,2024-06-07,12:00:00,1759.735974500729
3,CHMF,2024-06-07,13:00:00,1759.735974500729
4,CHMF,2024-06-07,14:00:00,1759.735974500729
5,CHMF,2024-06-07,15:00:00,1759.735974500729
6,CHMF,2024-06-07,16:00:00,1759.735974500729
7,CHMF,2024-06-07,17:00:00,1759.735974500729
8,CHMF,2024-06-07,18:00:00,1759.735974500729
9,CHMF,2024-06-07,20:00:00,1759.735974500729
10,CHMF,2024-06-07,21:00:00,1759.735974500729
11,CHMF,2024-06-07,22:00:00,1759.735974500729
12,CHMF,2024-06-07,23:00:00,1759.735974500729
13,CHMF,2024-06-10,10:00:00,1759.735974500729
14,CHMF,2024-06-10,11:00:00,1759.735974500729
15,CHMF,2024-06-10,12:00:00,1759.735974500729
16,CHMF,2024-06-10,13:00:00,1759.735974500729
17,CHMF,2024-06-10,14:00:00,1759.735974500729
18,CHMF,2024-06-10,15:00:00,1759.735974500729
19,CHMF,2024-06-10,16:00:00,1759.735974500729
20,CHMF,2024-06-10,17:00:00,1759.735974500729
21,CHMF,2024-06-10,18:00:00,1759.735974500729
22,CHMF,2024-06-10,20:00:00,1759.735974500729
23,CHMF,2024-06-10,21:00:00,1759.735974500729
24,CHMF,2024-06-10,22:00:00,1759.735974500729
25,CHMF,2024-06-10,23:00:00,1759.735974500729
26,VKCO,2024-05-13,10:00:00,629.1860631349782
27,VKCO,2024-05-13,11:00:00,629.1860631349782
28,VKCO,2024-05-13,12:00:00,629.1860631349782
29,VKCO,2024-05-13,13:00:00,629.1860631349782
30,VKCO,2024-05-13,14:00:00,629.1860631349782
31,VKCO,2024-05-13,15:00:00,629.1860631349782
32,VKCO,2024-05-13,16:00:00,629.1860631349782
33,VKCO,2024-05-13,17:00:00,629.1860631349782
34,VKCO,2024-05-13,18:00:00,629.1860631349782
35,VKCO,2024-05-13,20:00:00,629.1860631349782
36,VKCO,2024-05-13,21:00:00,629.1860631349782
37,VKCO,2024-05-13,22:00:00,629.1860631349782
38,VKCO,2024-05-13,23:00:00,629.1860631349782
39,VKCO,2024-05-14,10:00:00,629.1860631349782
40,VKCO,2024-05-14,11:00:00,629.1860631349782
41,VKCO,2024-05-14,12:00:00,629.1860631349782
42,VKCO,2024-05-14,13:00:00,629.1860631349782
43,VKCO,2024-05-14,14:00:00,629.1860631349782
44,VKCO,2024-05-14,15:00:00,629.1860631349782
45,VKCO,2024-05-14,16:00:00,629.1860631349782
46,VKCO,2024-05-14,17:00:00,629.1860631349782
47,VKCO,2024-05-14,18:00:00,629.1860631349782
48,VKCO,2024-05-14,20:00:00,629.1860631349782
49,VKCO,2024-05-14,21:00:00,629.1860631349782
