KEY,TICKER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL
0,VKCO,2024-02-01,10:00:00,698.2,698.2,696.2,696.6,7099
60,VKCO,2024-02-01,11:00:00,698.0,699.0,698.0,698.8,3525
120,VKCO,2024-02-01,12:00:00,697.0,697.0,696.6,696.8,5641
180,VKCO,2024-02-01,13:00:00,690.2,690.6,690.0,690.2,1692
240,VKCO,2024-02-01,14:00:00,692.0,692.2,691.8,692.0,401
300,VKCO,2024-02-01,15:00:00,690.6,691.0,690.4,691.0,319
360,VKCO,2024-02-01,16:00:00,691.4,691.4,691.0,691.2,143
420,VKCO,2024-02-01,17:00:00,689.2,689.2,689.0,689.2,898
480,VKCO,2024-02-01,18:00:00,688.4,688.4,687.2,687.4,5108
581,VKCO,2024-02-01,20:00:00,688.4,688.4,688.0,688.4,72
639,VKCO,2024-02-01,21:00:00,689.0,689.2,689.0,689.2,416
756,VKCO,2024-02-01,23:00:00,686.4,686.4,686.0,686.4,581
806,VKCO,2024-02-02,10:00:00,686.0,687.0,685.8,686.0,2340
866,VKCO,2024-02-02,11:00:00,678.4,678.8,677.4,677.4,4110
926,VKCO,2024-02-02,12:00:00,677.2,677.6,677.0,677.6,996
986,VKCO,2024-02-02,13:00:00,679.4,679.6,679.0,679.0,406
1046,VKCO,2024-02-02,14:00:00,677.0,677.0,676.6,676.8,101
1106,VKCO,2024-02-02,15:00:00,682.4,682.8,682.2,682.2,3114
1166,VKCO,2024-02-02,16:00:00,680.6,680.8,680.2,680.2,1192
1226,VKCO,2024-02-02,17:00:00,676.4,676.8,676.2,676.6,1341
1286,VKCO,2024-02-02,18:00:00,675.8,675.8,675.2,675.4,5554
1387,VKCO,2024-02-02,20:00:00,678.8,679.8,678.8,679.8,2318
1447,VKCO,2024-02-02,21:00:00,677.0,677.0,676.8,677.0,104
1506,VKCO,2024-02-02,22:00:00,675.8,675.8,675.6,675.8,16
1565,VKCO,2024-02-02,23:00:00,676.6,676.6,676.6,676.6,52
1613,VKCO,2024-02-05,10:00:00,678.2,679.6,675.2,677.2,14641
1673,VKCO,2024-02-05,11:00:00,683.0,684.0,683.0,683.8,1742
1733,VKCO,2024-02-05,12:00:00,680.6,681.0,680.6,680.6,587
1793,VKCO,2024-02-05,13:00:00,679.8,680.0,679.2,679.6,2150
1853,VKCO,2024-02-05,14:00:00,678.6,678.6,678.0,678.0,467
1913,VKCO,2024-02-05,15:00:00,678.6,678.8,678.2,678.4,298
1973,VKCO,2024-02-05,16:00:00,678.4,678.4,678.2,678.4,104
2033,VKCO,2024-02-05,17:00:00,678.0,678.2,677.8,678.0,859
2092,VKCO,2024-02-05,18:00:00,678.6,678.8,678.4,678.4,59
2192,VKCO,2024-02-05,20:00:00,675.0,675.6,675.0,675.6,175
2252,VKCO,2024-02-05,21:00:00,672.4,672.8,672.4,672.8,68
2311,VKCO,2024-02-05,22:00:00,673.4,673.6,673.4,673.6,31
2367,VKCO,2024-02-05,23:00:00,675.0,675.0,674.8,674.8,333
2413,VKCO,2024-02-06,10:00:00,674.8,676.8,674.2,675.4,7100
2473,VKCO,2024-02-06,11:00:00,679.2,680.0,677.6,677.6,11375
2533,VKCO,2024-02-06,12:00:00,675.6,675.8,675.6,675.6,359
2593,VKCO,2024-02-06,13:00:00,676.0,676.0,675.8,676.0,37
